Programa,Indicador,Ciclo,Valor
MAESTRIA EN DERECHO CORPORATIVO,Abandono,Ciclo 2-2025,8
MAESTRIA EN DERECHO DE LA NIÑEZ MUJERES Y FAMILIA,Abandono,Ciclo 2-2025,2
MAESTRIA EN DIRECCION ESTRATEGICA DEL TALENTO HUMANO,Abandono,Ciclo 2-2025,0
MAESTRIA EN GESTIÓN E INNOVACIÓN DE NEGOCIOS INTERNACIONALES,Abandono,Ciclo 2-2025,0
MAESTRIA EN METODOLOGIA DE LA INVESTIGACION CIENTIFICA,Abandono,Ciclo 2-2025,0
MAESTRIA EN SALUD PUBLICA,Abandono,Ciclo 2-2025,4
MAESTRÍA EN EPIDEMIOLOGÍA,Abandono,Ciclo 2-2025,0
MAESTRIA EN ADMINISTRACIÓN DE NEGOCIOS Y TRANSFORMACIÓN DIGITAL (MBA),Deserción,Ciclo 2-2025,0
MAESTRIA EN DERECHO CORPORATIVO,Deserción,Ciclo 2-2025,1
MAESTRIA EN DERECHO DE LA NIÑEZ MUJERES Y FAMILIA,Deserción,Ciclo 2-2025,0
MAESTRIA EN DIRECCION ESTRATEGICA DEL TALENTO HUMANO,Deserción,Ciclo 2-2025,4
MAESTRIA EN GESTIÓN E INNOVACIÓN DE NEGOCIOS INTERNACIONALES,Deserción,Ciclo 2-2025,1
MAESTRIA EN METODOLOGIA DE LA INVESTIGACION CIENTIFICA,Deserción,Ciclo 2-2025,0
MAESTRIA EN SALUD PUBLICA,Deserción,Ciclo 2-2025,0
MAESTRIA EN ADMINISTRACIÓN DE NEGOCIOS Y TRANSFORMACIÓN DIGITAL (MBA),Matrícula Nivel 1,Ciclo 2-2025,0
MAESTRIA EN DERECHO CORPORATIVO,Matrícula Nivel 1,Ciclo 2-2025,26
MAESTRIA EN DERECHO DE LA NIÑEZ MUJERES Y FAMILIA,Matrícula Nivel 1,Ciclo 2-2025,0
MAESTRIA EN DIRECCION ESTRATEGICA DEL TALENTO HUMANO,Matrícula Nivel 1,Ciclo 2-2025,16
MAESTRIA EN GESTIÓN E INNOVACIÓN DE NEGOCIOS INTERNACIONALES,Matrícula Nivel 1,Ciclo 2-2025,15
MAESTRIA EN METODOLOGIA DE LA INVESTIGACION CIENTIFICA,Matrícula Nivel 1,Ciclo 2-2025,0
MAESTRIA EN SALUD PUBLICA,Matrícula Nivel 1,Ciclo 2-2025,0
MAESTRÍA EN EPIDEMIOLOGÍA,Matrícula Nivel 1,Ciclo 2-2025,0
POSGRADO EN CIENCIAS DE LA SALUD (PHD),Matrícula Nivel 1,Ciclo 2-2025,0
MAESTRIA EN ADMINISTRACIÓN DE NEGOCIOS Y TRANSFORMACIÓN DIGITAL (MBA),Abandono,Ciclo 1-2026,0
MAESTRIA EN DERECHO CORPORATIVO,Abandono,Ciclo 1-2026,0
MAESTRIA EN DERECHO DE LA NIÑEZ MUJERES Y FAMILIA,Abandono,Ciclo 1-2026,0
MAESTRIA EN DIRECCION ESTRATEGICA DEL TALENTO HUMANO,Abandono,Ciclo 1-2026,0
MAESTRIA EN GESTIÓN E INNOVACIÓN DE NEGOCIOS INTERNACIONALES,Abandono,Ciclo 1-2026,0
MAESTRIA EN METODOLOGIA DE LA INVESTIGACION CIENTIFICA,Abandono,Ciclo 1-2026,0
MAESTRIA EN SALUD PUBLICA,Abandono,Ciclo 1-2026,0
MAESTRÍA EN EPIDEMIOLOGÍA,Abandono,Ciclo 1-2026,0
MAESTRIA EN ADMINISTRACIÓN DE NEGOCIOS Y TRANSFORMACIÓN DIGITAL (MBA),Deserción,Ciclo 1-2026,0
MAESTRIA EN DERECHO CORPORATIVO,Deserción,Ciclo 1-2026,0
MAESTRIA EN DERECHO DE LA NIÑEZ MUJERES Y FAMILIA,Deserción,Ciclo 1-2026,0
MAESTRIA EN DIRECCION ESTRATEGICA DEL TALENTO HUMANO,Deserción,Ciclo 1-2026,0
MAESTRIA EN GESTIÓN E INNOVACIÓN DE NEGOCIOS INTERNACIONALES,Deserción,Ciclo 1-2026,0
MAESTRIA EN METODOLOGIA DE LA INVESTIGACION CIENTIFICA,Deserción,Ciclo 1-2026,0
MAESTRIA EN SALUD PUBLICA,Deserción,Ciclo 1-2026,0
MAESTRIA EN ADMINISTRACIÓN DE NEGOCIOS Y TRANSFORMACIÓN DIGITAL (MBA),Matrícula Nivel 1,Ciclo 1-2026,39
MAESTRIA EN DERECHO CORPORATIVO,Matrícula Nivel 1,Ciclo 1-2026,38
MAESTRIA EN DERECHO DE LA NIÑEZ MUJERES Y FAMILIA,Matrícula Nivel 1,Ciclo 1-2026,0
MAESTRIA EN DIRECCION ESTRATEGICA DEL TALENTO HUMANO,Matrícula Nivel 1,Ciclo 1-2026,32
MAESTRIA EN GESTIÓN E INNOVACIÓN DE NEGOCIOS INTERNACIONALES,Matrícula Nivel 1,Ciclo 1-2026,0
MAESTRIA EN METODOLOGIA DE LA INVESTIGACION CIENTIFICA,Matrícula Nivel 1,Ciclo 1-2026,25
MAESTRIA EN SALUD PUBLICA,Matrícula Nivel 1,Ciclo 1-2026,36
MAESTRÍA EN EPIDEMIOLOGÍA,Matrícula Nivel 1,Ciclo 1-2026,16
POSGRADO EN CIENCIAS DE LA SALUD (PHD),Matrícula Nivel 1,Ciclo 1-2026,38
